num_distr,mouse.started,,,,
5,0.052611782,,,,
5,0.022465429,,,,
5,0.023687834,,,,
5,0.024467577,,,,
5,0.023746483,,,,
5,0.02380162,,,,
5,0.024148537,,,,
5,0.0239112,,,,
5,0.023033278,,number,mean ,
5,0.02271355,,5,0.027409998,0.038639136
5,0.023989922,,10,0.049868274,
5,0.02285604,,,,
5,0.023740226,,,,
5,0.023080496,,,,
5,0.023640597,,,,
5,0.023482466,,,,
5,0.024980281,,,,
5,0.02267115,,,,
5,0.023293325,,,,
5,0.023994471,,,,
5,0.022472177,,,,
5,0.023590198,,,,
5,0.02263365,,,,
5,0.024568751,,,,
5,0.023496021,,,,
5,0.022662952,,,,
5,0.023590901,,,,
5,0.022812588,,,,
5,0.023394356,,,,
5,0.023500872,,,,
5,0.023037989,,,,
5,0.02350926,,,,
5,0.02412684,,,,
5,0.026299411,,,,
5,0.025310776,,,,
5,0.022435941,,,,
5,0.026554506,,,,
5,0.0252119,,,,
5,0.029006539,,,,
5,0.035544246,,,,
5,0.024830042,,,,
5,0.031484672,,,,
5,0.051730957,,,,
5,0.033824953,,,,
5,0.044535766,,,,
5,0.022334359,,,,
5,0.022102704,,,,
5,0.027464844,,,,
5,0.02378014,,,,
5,0.02432336,,,,
5,0.02212763,,,,
5,0.024353436,,,,
5,0.029899486,,,,
5,0.02350915,,,,
5,0.025626934,,,,
5,0.025403699,,,,
5,0.02201881,,,,
5,0.023519634,,,,
5,0.02847422,,,,
5,0.022962764,,,,
5,0.025513553,,,,
5,0.023997271,,,,
5,0.022485353,,,,
5,0.022277116,,,,
5,0.027369385,,,,
5,0.025884273,,,,
5,0.036832785,,,,
5,0.036631453,,,,
5,0.126402264,,,,
5,0.054619481,,,,
5,0.023091625,,,,
5,0.024279281,,,,
5,0.03850182,,,,
5,0.030263852,,,,
5,0.023863349,,,,
5,0.022983006,,,,
5,0.027520212,,,,
5,0.022521209,,,,
5,0.024295285,,,,
5,0.08695589,,,,
5,0.021675093,,,,
5,0.023704763,,,,
5,0.024135035,,,,
5,0.023253795,,,,
5,0.023066714,,,,
5,0.0265488,,,,
5,0.024430475,,,,
5,0.023663987,,,,
5,0.023961279,,,,
5,0.024809039,,,,
5,0.025950615,,,,
5,0.021754227,,,,
5,0.023564879,,,,
5,0.021151586,,,,
5,0.023331307,,,,
5,0.024260248,,,,
5,0.022038945,,,,
5,0.022056027,,,,
5,0.022309237,,,,
5,0.023413001,,,,
5,0.024658601,,,,
10,0.044927813,,,,
10,0.045029226,,,,
10,0.046632042,,,,
10,0.052703185,,,,
10,0.044295605,,,,
10,0.046270203,,,,
10,0.04516209,,,,
10,0.046772399,,,,
10,0.047401302,,,,
10,0.043607196,,,,
10,0.043362461,,,,
10,0.044503802,,,,
10,0.04741465,,,,
10,0.046872023,,,,
10,0.046299662,,,,
10,0.046582969,,,,
10,0.043936773,,,,
10,0.045742554,,,,
10,0.046038956,,,,
10,0.043752413,,,,
10,0.0521402,,,,
10,0.045196698,,,,
10,0.044291428,,,,
10,0.045742215,,,,
10,0.044066935,,,,
10,0.044080733,,,,
10,0.064766006,,,,
10,0.050406372,,,,
10,0.044003968,,,,
10,0.042927761,,,,
10,0.044490058,,,,
10,0.051527241,,,,
10,0.066877931,,,,
10,0.067443371,,,,
10,0.045698142,,,,
10,0.051781849,,,,
10,0.043400184,,,,
10,0.046832228,,,,
10,0.045384707,,,,
10,0.059221432,,,,
10,0.046143734,,,,
10,0.045580306,,,,
10,0.047148678,,,,
10,0.044535496,,,,
10,0.049196243,,,,
10,0.045140167,,,,
10,0.044006521,,,,
10,0.050209579,,,,
10,0.043165988,,,,
10,0.04400957,,,,
10,0.044177285,,,,
10,0.043420074,,,,
10,0.042890232,,,,
10,0.04475689,,,,
10,0.044016875,,,,
10,0.043648295,,,,
10,0.043906145,,,,
10,0.044606383,,,,
10,0.041972977,,,,
10,0.044147104,,,,
10,0.043157278,,,,
10,0.042558432,,,,
10,0.043186645,,,,
10,0.041220125,,,,
10,0.041328014,,,,
10,0.043377987,,,,
10,0.123164245,,,,
10,0.068731533,,,,
10,0.068768732,,,,
10,0.056218776,,,,
10,0.059295519,,,,
10,0.053651391,,,,
10,0.061445274,,,,
10,0.071444861,,,,
10,0.047540276,,,,
10,0.051532173,,,,
10,0.044460934,,,,
10,0.047765096,,,,
10,0.053258815,,,,
10,0.045323159,,,,
10,0.093754548,,,,
10,0.044056906,,,,
10,0.043532395,,,,
10,0.042532247,,,,
10,0.044845237,,,,
10,0.043044289,,,,
10,0.043626032,,,,
10,0.042261923,,,,
10,0.068512941,,,,
10,0.044506934,,,,
10,0.044845528,,,,
10,0.042570358,,,,
10,0.093086114,,,,
10,0.059079875,,,,
10,0.06406205,,,,
10,0.044822315,,,,
10,0.047568794,,,,
10,0.060457646,,,,
10,0.043157964,,,,
,,,,,
